bookmark_count,favorite_count,favourites_count,follower_count,following_count,friends,is_blue_verified,is_hateful,listed_count,number_of_tweets,quote_count,reply_count,retweet_count,source,tweet_id,user_id,views
0,0,941,39,6,6,false,1,0,422,0,0,0,"",1269916756719685632,1264846057906806786,0
23,4860,13269,95956,1596,1595,true,1,245,21715,28,334,156,"",1277976913743503365,23719684,0
0,2,1494,1394,427,427,false,1,30,1173,0,0,0,Hootsuite Inc.,1285714950896443395,1081973336010309632,0
0,4,2675,49,165,165,false,1,3,1866,0,1,0,"",1284209535561818112,190751291,0
0,2,6,214664,258,258,false,1,0,310173,1,7,1,Twitter Media Studio - LiveCut,1279563405536325632,121639467,0
0,1,46077,911,168,166,true,1,5,31460,1,0,0,"",1279951677320093696,47304797,0
0,0,65573,721,1649,1648,false,1,1,232815,0,0,0,"",1286366488987865088,2278088432,0
0,1,16378,322,618,618,false,1,0,5097,0,0,2,Twitter for iPhone,1270505069826490368,106557003,0
0,1,4746,716,1640,1640,true,1,5,1233,0,0,0,"",1268693398854270976,2786302676,0
0,1,4469,425,1348,1349,false,1,2,7175,0,1,0,"",1276247727404269569,344264843,0
0,2,31644,376,557,556,false,1,3,8097,0,0,0,"",1276356681044115456,3266550512,0
0,1,289794,1559,1509,1511,false,1,3,47954,0,0,0,Twitter for iPhone,1260354169384378368,964549422645424128,0
0,4,19535,22,49,49,false,1,0,7195,0,0,0,"",1273005746066649088,756328737864454144,0
0,26,771,226,295,295,false,1,14,2160,3,3,12,Twitter Web App,1267241848747196419,132800841,0
0,2,84043,9123,7078,7074,false,1,17,87397,0,2,0,"",1267234008250925057,3224525778,0
0,0,21740,1967,3861,3858,false,2,30,39963,0,0,0,"",1278093777836572673,566393365,0
3,136,73090,31861,1961,1960,false,2,31,63233,20,59,122,Twitter for Android,1276636801457778688,2297338710,0
0,0,52109,438,547,547,false,1,7,61738,0,0,0,"",1278331259022766080,376521614,0
0,1,2593,19,199,202,false,1,0,947,0,0,0,"",1283233478595817474,73814427,0
0,1,126172,642,810,807,false,1,7,22386,0,1,0,"",1284160746134405123,509626471,0
0,3,138525,570,1203,1198,false,1,21,89002,0,0,0,"",1274308986230226946,1000799129898012673,0
0,0,91396,225,1993,1994,false,1,13,4573,0,0,0,"",1282129445109800962,125805827,0
1,408,56886,213420,681,681,true,1,415,16888,3,11,73,Twitter for iPhone,1283761946873880577,1124022135335325696,0
7,3678,0,155920,408,417,true,1,1102,16195,49,140,940,Twitter Web App,1275707453011869696,22657914,0
0,1,97060,149,81,81,false,1,2,25905,0,1,0,"",1277723360114475008,1303552081,0
0,21,63005,660,886,886,false,1,1,32206,0,0,2,"",1258420248597852162,316418293,0
0,0,3165,559,1595,1602,false,1,2,9768,0,0,0,"",1267606847072198658,725408525925515264,0
